seconds 	point x 	point y 	point z 	position x	position y	position z	flag    	
2.518   	6.492   	0.008   	-5.457  	-0.000  	1.820   	0.000   	-       	
2.535   	6.492   	0.008   	-5.457  	-0.000  	1.820   	0.000   	-       	
2.552   	6.492   	0.008   	-5.457  	-0.000  	1.820   	0.000   	-       	
2.569   	6.492   	0.008   	-5.457  	-0.000  	1.820   	0.000   	-       	
2.585   	6.492   	0.008   	-5.457  	-0.000  	1.820   	0.000   	-       	
2.602   	6.492   	0.008   	-5.457  	-0.000  	1.820   	0.000   	-       	
2.618   	6.492   	0.008   	-5.457  	-0.000  	1.820   	0.000   	-       	
2.635   	6.492   	0.008   	-5.457  	-0.000  	1.820   	0.000   	-       	
2.652   	6.492   	0.008   	-5.457  	-0.000  	1.820   	0.000   	-       	
2.668   	6.492   	0.008   	-5.457  	-0.000  	1.820   	0.000   	-       	
2.685   	6.919   	-0.008  	-5.817  	-0.000  	1.820   	0.000   	-       	
2.702   	7.500   	-0.008  	-6.225  	-0.000  	1.820   	0.000   	-       	
2.719   	8.729   	-0.008  	-6.837  	-0.000  	1.820   	0.000   	-       	
2.735   	5.050   	0.929   	-3.817  	-0.000  	1.820   	0.000   	-       	
2.752   	5.051   	1.086   	-3.743  	-0.000  	1.820   	0.000   	-       	
2.769   	5.051   	1.196   	-3.743  	-0.000  	1.820   	0.000   	-       	
2.785   	5.050   	1.354   	-3.755  	-0.000  	1.820   	0.000   	-       	
2.802   	5.050   	1.452   	-3.817  	-0.000  	1.820   	0.000   	-       	
2.819   	9.436   	1.351   	-7.296  	-0.000  	1.820   	0.000   	-       	
2.835   	9.383   	1.594   	-7.469  	-0.000  	1.820   	0.000   	-       	
2.852   	9.384   	1.763   	-7.664  	-0.000  	1.820   	0.000   	-       	
2.869   	9.327   	1.877   	-7.891  	-0.000  	1.820   	0.000   	-       	
2.886   	9.422   	2.036   	-8.228  	-0.000  	1.820   	0.000   	-       	
2.902   	9.422   	2.120   	-8.574  	-0.000  	1.820   	0.000   	-       	
2.918   	9.422   	2.148   	-9.045  	-0.000  	1.820   	0.000   	-       	
2.936   	9.422   	2.199   	-9.512  	-0.000  	1.820   	0.000   	-       	
2.953   	9.327   	2.269   	-9.902  	-0.000  	1.820   	0.000   	-       	
2.969   	9.069   	2.359   	-10.287 	-0.000  	1.820   	0.000   	-       	
2.985   	8.757   	2.372   	-10.287 	-0.000  	1.820   	0.000   	-       	
3.002   	8.455   	2.448   	-10.287 	-0.000  	1.820   	0.000   	-       	
3.019   	8.057   	2.457   	-10.287 	-0.000  	1.820   	0.000   	-       	
3.035   	5.291   	2.269   	-7.187  	-0.000  	1.820   	0.000   	-       	
3.052   	4.917   	2.299   	-7.187  	-0.000  	1.820   	0.000   	-       	
3.069   	4.837   	2.363   	-7.702  	-0.000  	1.820   	0.000   	-       	
3.085   	5.895   	2.625   	-10.336 	-0.000  	1.820   	0.000   	-       	
3.102   	5.216   	2.654   	-10.003 	-0.000  	1.820   	0.000   	-       	
3.119   	4.837   	2.735   	-10.074 	-0.000  	1.820   	0.000   	-       	
3.136   	4.974   	2.894   	-11.111 	-0.000  	1.820   	0.000   	-       	
3.152   	4.772   	2.996   	-11.270 	-0.000  	1.820   	0.000   	-       	
3.169   	4.421   	3.118   	-11.270 	-0.000  	1.820   	0.000   	-       	
3.185   	4.198   	3.186   	-11.270 	-0.000  	1.820   	0.000   	-       	
3.202   	3.977   	3.254   	-11.270 	-0.000  	1.820   	0.000   	-       	
3.219   	3.740   	3.320   	-11.270 	-0.000  	1.820   	0.000   	-       	
3.236   	3.583   	3.352   	-11.270 	-0.000  	1.820   	0.000   	-       	
3.252   	3.312   	3.435   	-11.270 	-0.000  	1.820   	0.000   	-       	
3.269   	3.121   	3.503   	-11.270 	-0.000  	1.820   	0.000   	-       	
3.286   	2.877   	3.541   	-11.206 	-0.000  	1.820   	0.000   	-       	
3.302   	2.707   	3.589   	-11.200 	-0.000  	1.820   	0.000   	-       	
3.319   	2.457   	3.629   	-11.156 	-0.000  	1.820   	0.000   	-       	
3.336   	2.246   	3.666   	-11.200 	-0.000  	1.820   	0.000   	-       	
3.352   	2.045   	3.697   	-11.200 	-0.000  	1.820   	0.000   	-       	
3.369   	1.810   	3.763   	-11.200 	-0.000  	1.820   	0.000   	-       	
